Coal: Production*,,,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contents
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share,,
Exajoules,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019,,
Romania,0.39,0.40,0.47,0.46,0.47,0.49,0.53,0.58,0.59,0.35,0.29,0.31,0.32,0.33,0.33,0.34,0.28,0.22,0.19,0.23,0.24,0.26,0.27,0.26,0.24,0.27,0.29,0.29,0.27,0.25,0.28,0.27,0.19,0.19,0.20,0.18,0.19,0.17,0.16,-8.4%,-5.2%,0.1%,,
Serbia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.30,0.31,0.31,0.30,0.33,0.31,0.32,0.24,0.30,0.30,0.30,0.28,0.29,3.4%,-1.2%,0.2%,,
Spain,0.50,0.54,0.55,0.55,0.54,0.55,0.48,0.46,0.49,0.48,0.44,0.44,0.44,0.41,0.41,0.40,0.40,0.39,0.36,0.35,0.33,0.32,0.30,0.29,0.28,0.26,0.25,0.18,0.16,0.14,0.11,0.10,0.07,0.07,0.05,0.03,0.05,0.04,^,-97.4%,-14.4%,?,,
Turkey,0.29,0.31,0.33,0.37,0.45,0.48,0.51,0.46,0.53,0.49,0.46,0.51,0.48,0.51,0.51,0.51,0.55,0.58,0.56,0.52,0.51,0.48,0.45,0.44,0.47,0.55,0.62,0.70,0.73,0.73,0.75,0.71,0.65,0.68,0.54,0.65,0.63,0.69,0.70,0.4%,-0.1%,0.4%,,
Ukraine,n/a,n/a,n/a,n/a,3.90,4.00,3.95,3.93,3.69,3.63,3.09,2.93,2.50,2.06,1.79,1.35,1.41,1.44,1.52,1.52,1.51,1.50,1.46,1.45,1.45,1.48,1.46,1.45,1.35,1.35,1.52,1.64,1.60,1.09,0.72,0.76,0.57,0.59,0.57,-2.3%,-8.7%,0.3%,,
United Kingdom,3.27,3.18,3.04,1.29,2.37,2.75,2.65,2.65,2.55,2.36,2.41,2.16,1.74,1.24,1.37,1.30,1.27,1.08,0.97,0.82,0.84,0.79,0.74,0.65,0.53,0.48,0.45,0.47,0.46,0.48,0.48,0.44,0.33,0.31,0.23,0.11,0.08,0.07,0.06,-16.1%,-17.5%,?,,
Other Europe,1.43,1.51,1.53,1.56,1.85,1.87,1.74,1.59,1.63,1.58,1.40,1.34,1.18,1.06,1.07,1.05,1.10,0.99,0.93,0.91,0.92,0.95,1.03,0.92,0.92,1.00,0.63,0.64,0.65,0.66,0.66,0.59,0.69,0.66,0.60,0.56,0.57,0.82,0.65,-21.1%,2.5%,0.4%,,
Total Europe,18.86,19.72,19.47,17.89,23.49,23.94,23.58,23.27,22.36,20.55,18.65,17.69,16.07,14.61,14.47,13.73,13.73,12.58,12.06,11.62,11.53,11.43,11.35,10.99,10.75,10.72,10.51,10.27,9.71,9.60,9.94,9.96,9.43,8.60,7.90,7.55,7.25,7.28,6.52,-10.5%,-3.4%,3.9%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,n/a,n/a,n/a,n/a,2.40,2.52,2.60,2.61,2.52,2.39,2.37,2.29,2.02,1.89,1.50,1.39,1.32,1.27,1.06,1.36,1.43,1.33,1.53,1.57,1.56,1.73,1.77,2.01,1.82,1.99,2.08,2.16,2.15,2.05,1.93,1.85,2.02,2.13,2.08,-2.4%,0.6%,1.2%,,
