Slovakia,0.22,0.19,0.21,0.19,0.18,0.19,0.16,0.16,0.16,0.17,0.17,0.17,2.30%,-2.30%,0.10%
Slovenia,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.40%,-1.80%,?
Spain,1.46,1.31,1.3,1.21,1.2,1.09,0.99,1.03,1.05,1.14,1.13,1.3,14.80%,-2.50%,0.90%
Sweden,0.03,0.04,0.06,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,3.20%,1.70%,?
Switzerland,0.12,0.11,0.13,0.11,0.12,0.13,0.11,0.12,0.13,0.13,0.12,0.12,2.40%,0.20%,0.10%
Turkey,1.27,1.21,1.29,1.51,1.56,1.58,1.68,1.65,1.6,1.86,1.7,1.56,-8.50%,3.00%,1.10%
Ukraine,2.26,1.76,1.96,2.02,1.87,1.72,1.45,1.15,1.13,1.09,1.1,1.02,-7.70%,-6.90%,0.70%
United Kingdom,3.52,3.28,3.55,2.95,2.77,2.75,2.52,2.59,2.9,2.83,2.85,2.84,-0.50%,-2.10%,2.00%
Other Europe,0.13,0.11,0.13,0.15,0.14,0.15,0.15,0.16,0.17,0.19,0.19,0.19,1.60%,3.90%,0.10%
Total Europe,22.53,20.79,22.43,20.89,20.37,19.96,18,18.33,19.35,20.12,19.73,19.95,1.10%,-1.30%,14.10%
Azerbaijan,0.36,0.31,0.29,0.32,0.34,0.34,0.35,0.4,0.39,0.38,0.39,0.42,9.00%,0.80%,0.30%
Belarus,0.72,0.61,0.75,0.69,0.7,0.69,0.69,0.64,0.64,0.66,0.7,0.69,-0.30%,-0.30%,0.50%
Kazakhstan,0.38,0.37,0.4,0.44,0.47,0.49,0.54,0.55,0.57,0.6,0.68,0.64,-5.80%,6.00%,0.50%
Russian Federation,15.22,14.32,15.26,15.68,15.43,15.3,15.2,14.71,15.14,15.52,16.36,16,-2.20%,0.70%,11.30%
Turkmenistan,0.28,0.62,0.66,0.75,0.83,0.7,0.72,0.91,0.9,0.89,1.02,1.14,11.10%,13.70%,0.80%
USSR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,1.59,1.59,1.59,1.7,1.66,1.66,1.75,1.67,1.56,1.55,1.6,1.56,-2.20%,0.10%,1.10%
Other CIS,0.21,0.19,0.19,0.2,0.21,0.17,0.19,0.19,0.19,0.18,0.21,0.2,-6.00%,-0.10%,0.10%
Total CIS,18.77,18,19.13,19.78,19.63,19.34,19.44,19.08,19.4,19.79,20.96,20.65,-1.50%,1.10%,14.60%
Iran,4.53,4.85,5.2,5.51,5.49,5.54,6.24,6.62,7.07,7.53,8.07,8.05,-0.20%,5.90%,5.70%
Iraq,0.23,0.25,0.26,0.23,0.23,0.25,0.27,0.26,0.36,0.41,0.53,0.72,36.50%,8.50%,0.50%
Israel,0.13,0.14,0.18,0.17,0.09,0.24,0.26,0.29,0.33,0.36,0.38,0.39,2.40%,11.30%,0.30%
Kuwait,0.43,0.43,0.5,0.57,0.63,0.64,0.64,0.73,0.76,0.76,0.76,0.85,11.20%,5.80%,0.60%
Oman,0.48,0.49,0.59,0.65,0.71,0.78,0.77,0.83,0.82,0.84,0.9,0.9,0.10%,6.50%,0.60%
Qatar,0.75,0.77,0.91,1.03,1.21,1.28,1.39,1.53,1.45,1.44,1.49,1.48,-0.70%,7.20%,1.00%
Saudi Arabia,2.75,2.68,3,3.16,3.4,3.42,3.5,3.57,3.79,3.93,4.04,4.09,1.40%,3.90%,2.90%
United Arab Emirates,2.09,2.07,2.13,2.22,2.3,2.33,2.28,2.58,2.62,2.69,2.68,2.74,2.20%,2.50%,1.90%
Other Middle East,0.75,0.82,0.91,0.79,0.73,0.76,0.75,0.81,0.83,0.85,0.81,0.89,9.90%,0.90%,0.60%
Total Middle East,12.14,12.5,13.68,14.33,14.79,15.24,16.11,17.22,18.03,18.8,19.65,20.1,2.30%,4.90%,14.20%
Algeria,0.88,0.94,0.91,0.96,1.08,1.16,1.3,1.37,1.39,1.42,1.56,1.63,4.20%,5.90%,1.20%
Egypt,1.42,1.47,1.56,1.72,1.82,1.78,1.66,1.66,1.78,2.01,2.15,2.12,-1.10%,4.20%,1.50%
Morocco,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,-5.20%,5.80%,?
South Africa,0.14,0.12,0.15,0.15,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.15,-4.20%,1.30%,0.10%
Eastern Africa,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.06,0.07,0.07,0.07,0.08,11.10%,12.70%,0.10%
Middle Africa,0.12,0.12,0.13,0.15,0.15,0.13,0.13,0.14,0.18,0.19,0.18,0.16,-9.50%,4.40%,0.10%
Western Africa,0.42,0.32,0.31,0.44,0.47,0.46,0.58,0.86,0.76,0.79,0.84,0.86,2.50%,7.20%,0.60%
Other Northern Africa,0.4,0.42,0.44,0.37,0.39,0.44,0.41,0.35,0.37,0.36,0.36,0.36,0.40%,-1.10%,0.30%
Other Southern Africa,-,-,-,-,-,-,-,-,-,-,-,-,n/a,n/a,?
Total Africa,3.41,3.44,3.56,3.86,4.14,4.2,4.32,4.62,4.75,5.04,5.36,5.4,0.90%,4.60%,3.80%
Australia,1.03,1.05,1.22,1.27,1.27,1.34,1.44,1.52,1.5,1.48,1.49,1.93,29.70%,3.80%,1.40%
Bangladesh,0.59,0.67,0.69,0.7,0.77,0.79,0.83,0.93,0.95,0.96,0.99,1.24,25.30%,5.30%,0.90%
China,2.95,3.25,3.92,4.87,5.43,6.19,6.78,7.01,7.54,8.66,10.19,11.06,8.60%,13.20%,7.80%
China Hong Kong SAR,0.11,0.1,0.13,0.1,0.09,0.09,0.09,0.11,0.11,0.11,0.11,0.11,3.30%,0.10%,0.10%
India,1.44,1.77,2.12,2.17,2.01,1.76,1.75,1.72,1.83,1.93,2.09,2.15,2.70%,3.80%,1.50%
Indonesia,1.43,1.52,1.59,1.54,1.55,1.6,1.59,1.65,1.61,1.56,1.6,1.58,-1.60%,1.20%,1.10%
Japan,3.57,3.33,3.6,4.03,4.44,4.45,4.49,4.27,4.19,4.21,4.17,3.89,-6.60%,1.60%,2.80%
Malaysia,1.57,1.44,1.37,1.38,1.51,1.6,1.61,1.69,1.62,1.62,1.48,1.52,3.10%,-0.60%,1.10%
New Zealand,0.14,0.14,0.16,0.14,0.16,0.17,0.19,0.18,0.17,0.18,0.16,0.17,8.90%,1.20%,0.10%
Pakistan,1.25,1.25,1.27,1.27,1.32,1.28,1.26,1.32,1.39,1.47,1.57,1.64,4.80%,2.30%,1.20%
Philippines,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.12,0.14,0.14,0.15,0.15,-0.20%,1.00%,0.10%
Singapore,0.31,0.33,0.3,0.3,0.32,0.36,0.37,0.42,0.43,0.44,0.44,0.46,3.70%,3.50%,0.30%
South Korea,1.34,1.28,1.62,1.74,1.89,1.98,1.8,1.64,1.72,1.79,2.08,2.01,-3.20%,4.50%,1.40%
Sri Lanka,-,-,-,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a
Taiwan,0.46,0.45,0.56,0.61,0.64,0.65,0.68,0.73,0.75,0.84,0.85,0.84,-1.70%,6.40%,0.60%
Thailand,1.33,1.37,1.56,1.6,1.75,1.76,1.8,1.83,1.82,1.8,1.8,1.83,1.60%,3.10%,1.30%
Vietnam,0.26,0.28,0.33,0.29,0.32,0.34,0.35,0.37,0.37,0.34,0.35,0.35,2.00%,2.90%,0.30%
Other Asia Pacific,0.23,0.2,0.24,0.27,0.31,0.31,0.36,0.43,0.41,0.41,0.41,0.37,-8.90%,5.90%,0.30%
Total Asia Pacific,18.13,18.56,20.8,22.44,23.92,24.79,25.52,25.93,26.55,27.94,29.92,31.32,4.70%,5.10%,22.10%
Total World,108.09,105.88,113.78,116.54,119.59,121.56,122.38,125.21,128.12,131.71,138.66,141.45,2.00%,2.50%,100.00%
