Spain,0.57,0.39,0.29,0.54,0.65,0.48,0.49,0.57,0.44,0.56,0.46,0.21,-54.60%,-2.00%,0.10%
Sweden,0.12,0.08,0.12,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,2.20%,-3.50%,0.10%
Switzerland,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,^,^,^,^,,-4.20%,
Turkey,1.24,1.29,1.32,1.42,1.53,1.32,1.51,1.45,1.61,1.65,1.71,1.7,-0.80%,3.30%,1.10%
Ukraine,1.75,1.5,1.6,1.74,1.79,1.73,1.49,1.14,1.36,1.08,1.15,1.1,-4.50%,-4.10%,0.70%
United Kingdom,1.49,1.25,1.29,1.32,1.63,1.55,1.25,0.97,0.46,0.38,0.32,0.26,-17.40%,-14.30%,0.20%
Other Europe,0.57,0.58,0.58,0.66,0.59,0.61,0.5,0.58,0.6,0.59,0.6,0.77,26.60%,0.60%,0.50%
Total Europe,16.38,14.67,15.34,15.99,16.34,15.81,14.84,14.2,13.68,13.23,12.92,11.35,-12.10%,-2.30%,7.20%
Azerbaijan,^,^,^,^,^,^,^,^,^,^,^,^,,-10.40%,
Belarus,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.04,6.70%,3.20%,
Kazakhstan,1.41,1.3,1.4,1.52,1.58,1.57,1.55,1.43,1.42,1.52,1.7,1.67,-1.90%,1.90%,1.10%
Russian Federation,4.22,3.86,3.79,3.94,4.12,3.79,3.67,3.86,3.74,3.51,3.63,3.63,,-1.50%,2.30%
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,,,
USSR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,0.04,0.04,0.04,0.05,0.05,0.07,0.06,0.06,0.05,0.06,0.09,0.07,-14.50%,7.20%,
Other CIS,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.07,0.08,0.09,0.12,33.70%,7.50%,0.10%
Total CIS,5.74,5.26,5.3,5.58,5.84,5.52,5.38,5.46,5.32,5.22,5.54,5.53,-0.20%,-0.40%,3.50%
Iran,0.05,0.06,0.05,0.06,0.05,0.06,0.07,0.07,0.06,0.07,0.06,0.05,-6.70%,1.20%,
Iraq,-,-,-,-,-,-,-,-,-,-,-,-,,,
Israel,0.33,0.32,0.32,0.33,0.37,0.3,0.28,0.27,0.23,0.21,0.2,0.21,6.20%,-5.00%,0.10%
Kuwait,^,-,^,^,-,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.30%,76.00%,
Oman,^,^,^,^,^,^,^,^,^,^,^,0.01,120.70%,51.10%,
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,,,
Saudi Arabia,^,^,^,^,^,^,0.01,0.01,^,^,^,^,,4.80%,
United Arab Emirates,0.01,0.01,0.03,0.02,0.06,0.07,0.08,0.07,0.08,0.09,0.1,0.1,2.20%,21.50%,0.10%
Other Middle East,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,,8.90%,
Total Middle East,0.4,0.4,0.42,0.43,0.5,0.47,0.47,0.44,0.4,0.4,0.39,0.4,3.60%,-0.50%,0.30%
Algeria,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,^,0.01,0.02,0.02,,-4.10%,
Egypt,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.05,0.09,0.08,-7.80%,11.90%,0.10%
Morocco,0.15,0.11,0.12,0.12,0.13,0.13,0.17,0.19,0.18,0.19,0.22,0.28,29.40%,3.50%,0.20%
South Africa,3.91,3.93,3.89,3.79,3.7,3.7,3.75,3.52,3.78,3.72,3.76,3.81,1.40%,-0.40%,2.40%
Eastern Africa,0.07,0.08,0.12,0.13,0.1,0.16,0.25,0.2,0.16,0.19,0.21,0.18,-14.50%,11.20%,0.10%
Middle Africa,^,^,^,^,^,^,^,^,^,^,^,^,,-10.00%,
Western Africa,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.04,0.04,0.04,-8.70%,17.60%,
Other Northern Africa,-,-,-,^,^,-,-,-,-,-,-,-,n/a,n/a,
Other Southern Africa,0.04,0.05,0.03,0.03,0.05,0.05,0.06,0.06,0.06,0.07,0.06,0.05,-13.10%,4.10%,
Total Africa,4.25,4.23,4.19,4.12,4.02,4.07,4.26,4.03,4.27,4.26,4.41,4.47,1.50%,0.40%,2.80%
Australia,2.44,2.36,2.19,2.13,2,1.89,1.88,1.95,1.94,1.88,1.84,1.78,-3.30%,-2.80%,1.10%
Bangladesh,0.04,0.05,0.03,0.05,0.04,0.05,0.03,0.11,0.08,0.09,0.1,0.14,41.00%,10.10%,0.10%
China,67.38,70.58,73.22,79.71,80.71,82.44,81.83,80.13,79.09,79.28,79.83,81.67,2.30%,1.70%,51.70%
China Hong Kong SAR,0.29,0.3,0.26,0.31,0.31,0.33,0.34,0.28,0.28,0.26,0.26,0.26,-1.60%,-0.90%,0.20%
India,10.86,11.76,12.16,12.75,13.82,14.77,16.23,16.55,16.86,17.46,18.56,18.62,0.30%,5.50%,11.80%
Indonesia,1.32,1.39,1.65,1.96,2.22,2.39,1.89,2.14,2.23,2.39,2.84,3.41,20.00%,8.00%,2.20%
Japan,5.09,4.27,4.87,4.62,4.88,5.07,4.99,5.03,5.02,5.1,4.99,4.91,-1.70%,-0.20%,3.10%
Malaysia,0.41,0.44,0.62,0.62,0.66,0.63,0.64,0.73,0.78,0.87,0.93,0.9,-3.20%,8.50%,0.60%
New Zealand,0.09,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.06,14.20%,-4.70%,
Pakistan,0.25,0.21,0.19,0.17,0.17,0.13,0.2,0.19,0.22,0.3,0.5,0.55,11.20%,7.00%,0.30%
Philippines,0.27,0.25,0.29,0.32,0.34,0.42,0.45,0.49,0.55,0.65,0.68,0.73,6.60%,9.90%,0.50%
Singapore,^,^,^,^,^,0.01,0.02,0.02,0.02,0.04,0.02,0.03,30.80%,58.10%,
South Korea,2.77,2.87,3.23,3.5,3.38,3.41,3.53,3.58,3.41,3.61,3.63,3.44,-5.30%,2.70%,2.20%
Sri Lanka,^,^,^,0.01,0.02,0.02,0.04,0.05,0.05,0.06,0.06,0.06,10.30%,37.20%,
Taiwan,1.57,1.51,1.6,1.67,1.65,1.69,1.71,1.64,1.67,1.7,1.7,1.63,-4.00%,0.80%,1.00%
Thailand,0.63,0.63,0.65,0.66,0.69,0.68,0.75,0.73,0.75,0.75,0.8,0.71,-10.90%,2.50%,0.50%
Vietnam,0.5,0.47,0.61,0.73,0.67,0.72,0.87,1.1,1.19,1.19,1.59,2.07,30.20%,12.30%,1.30%
Other Asia Pacific,0.86,0.69,0.67,0.56,0.58,0.45,0.51,0.49,0.6,0.61,1.23,1.25,1.20%,3.70%,0.80%
Total Asia Pacific,94.75,97.84,102.31,109.83,112.2,115.18,115.96,115.27,114.81,116.28,119.62,122.22,2.20%,2.40%,77.40%
