Coal: Consumption*,,,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contents
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share,,
Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central America,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.05,0.05,0.06,0.07,0.06,0.09,0.10,11.5%,15.4%,0.1%,,
Other Caribbean,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.07,0.08,0.07,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.09,0.10,0.09,0.09,0.08,0.09,0.14,55.0%,0.7%,0.1%,,
Other South America,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-0.9%,5.9%,?,,
Total S. & Cent. America,0.24,0.24,0.26,0.25,0.27,0.30,0.28,0.27,0.28,0.31,0.33,0.33,0.37,0.40,0.42,0.45,0.44,0.45,0.50,0.57,0.66,0.67,0.74,0.73,0.79,0.66,0.70,0.74,0.75,0.79,0.80,0.82,0.89,0.87,0.86,0.88,0.83,0.82,0.88,0.94,0.88,1.02,1.09,1.16,0.98,1.19,1.26,1.33,1.45,1.52,1.50,1.46,1.43,1.43,1.48,3.7%,2.1%,0.9%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,0.21,0.20,0.19,0.19,0.19,0.20,0.18,0.17,0.17,0.18,0.15,0.16,0.14,0.14,0.15,0.15,0.16,0.15,0.16,0.18,0.18,0.16,0.16,0.15,0.16,0.17,0.18,0.14,0.13,0.13,0.15,0.15,0.15,0.14,0.14,0.15,0.16,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.12,0.14,0.15,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.13,5.2%,-2.8%,0.1%,,
Belgium,0.80,0.73,0.72,0.74,0.72,0.68,0.56,0.54,0.45,0.48,0.36,0.38,0.38,0.39,0.44,0.44,0.45,0.46,0.39,0.45,0.45,0.38,0.38,0.39,0.41,0.45,0.43,0.38,0.36,0.39,0.37,0.35,0.33,0.33,0.29,0.32,0.30,0.26,0.25,0.23,0.22,0.21,0.19,0.19,0.12,0.16,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,-2.1%,-3.8%,0.1%,,
Bulgaria,0.25,0.26,0.28,0.31,0.31,0.34,0.33,0.34,0.34,0.34,0.35,0.33,0.33,0.35,0.36,0.38,0.39,0.41,0.40,0.40,0.42,0.43,0.43,0.40,0.41,0.35,0.31,0.33,0.35,0.32,0.32,0.32,0.36,0.35,0.29,0.26,0.30,0.28,0.31,0.30,0.29,0.29,0.33,0.32,0.27,0.29,0.34,0.29,0.25,0.27,0.27,0.24,0.26,0.23,0.21,-8.7%,-3.2%,0.1%,,
Croatia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,18.1%,-6.4%,?,,
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,0.01,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,22.8%,-4.9%,?,,
Czech Republic,1.48,1.47,1.43,1.48,1.53,1.55,1.62,1.60,1.56,1.56,1.59,1.62,1.65,1.66,1.66,1.61,1.60,1.62,1.61,1.64,1.60,1.59,1.58,1.59,1.53,1.25,1.14,1.07,1.04,0.98,0.98,0.98,0.92,0.85,0.78,0.89,0.87,0.86,0.87,0.87,0.84,0.87,0.87,0.82,0.76,0.79,0.77,0.74,0.71,0.69,0.68,0.69,0.65,0.65,0.60,-6.9%,-2.4%,0.4%,,
Denmark,0.15,0.18,0.15,0.13,0.12,0.10,0.06,0.06,0.09,0.09,0.09,0.12,0.14,0.15,0.18,0.26,0.21,0.25,0.24,0.25,0.30,0.31,0.30,0.28,0.23,0.26,0.35,0.29,0.30,0.32,0.27,0.37,0.28,0.24,0.20,0.17,0.18,0.18,0.24,0.18,0.16,0.24,0.19,0.17,0.17,0.16,0.14,0.10,0.14,0.11,0.07,0.09,0.07,0.07,0.04,-41.8%,-9.0%,?,,
Estonia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.24,0.25,0.25,0.24,0.25,0.23,0.21,0.18,0.13,0.14,0.13,0.14,0.14,0.12,0.11,0.12,0.12,0.11,0.13,0.14,0.13,0.12,0.15,0.14,0.13,0.16,0.17,0.16,0.18,0.18,0.16,0.16,0.18,0.20,0.14,-29.3%,3.5%,0.1%,,
Finland,0.07,0.07,0.07,0.08,0.09,0.10,0.08,0.09,0.10,0.11,0.10,0.13,0.13,0.18,0.17,0.19,0.12,0.13,0.14,0.16,0.21,0.19,0.21,0.21,0.21,0.22,0.22,0.20,0.23,0.28,0.25,0.29,0.28,0.23,0.22,0.21,0.25,0.28,0.34,0.31,0.20,0.31,0.29,0.22,0.22,0.28,0.23,0.19,0.21,0.19,0.16,0.18,0.17,0.18,0.15,-16.6%,-2.4%,0.1%,,
France,1.73,1.60,1.58,1.52,1.52,1.45,1.33,1.18,1.17,1.18,1.04,1.22,1.18,1.23,1.33,1.30,1.19,1.22,1.10,1.05,1.02,0.84,0.77,0.75,0.82,0.80,0.85,0.75,0.61,0.60,0.61,0.65,0.57,0.68,0.61,0.59,0.52,0.53,0.57,0.54,0.56,0.52,0.54,0.51,0.45,0.48,0.41,0.46,0.48,0.36,0.35,0.34,0.39,0.35,0.27,-23.2%,-3.6%,0.2%,,
